,track,KM,sensor,GPS_Lat,GPS_Long,Hoogte,sensor_type,grondsoort,locatie,Name
0,Track GH,18600,RM000443,51.9420215,5.231401709,0,tilt,dwarsligger,,tilt_GH_18600.0
1,Track GH,18603.125,RM000444,51.94199833,5.231424033,0,tilt,dwarsligger,,tilt_GH_18603.125
2,Track GH,18606.25,RM000445,51.94197323,5.231448216,0,tilt,dwarsligger,,tilt_GH_18606.25
3,Track GH,18609.375,RM000446,51.94195006,5.23147054,0,tilt,dwarsligger,,tilt_GH_18609.375
4,Track GH,18612.5,RM000447,51.94192497,5.231494723,0,tilt,dwarsligger,,tilt_GH_18612.5
5,Track GH,18615.625,RM000448,51.9419018,5.231517047,0,tilt,dwarsligger,,tilt_GH_18615.625
6,Track GH,18618.75,RM000449,51.9418767,5.23154123,0,tilt,dwarsligger,,tilt_GH_18618.75
7,Track GH,18621.875,RM000450,51.94185353,5.231563554,0,tilt,dwarsligger,,tilt_GH_18621.875
8,Track GH,18625,RM000451,51.94182844,5.231587737,0,tilt,dwarsligger,,tilt_GH_18625.0
9,Track GH,18628.125,RM000452,51.94180527,5.231610061,0,tilt,dwarsligger,,tilt_GH_18628.125
10,Track GH,18631.25,RM000453,51.94178017,5.231634244,0,tilt,dwarsligger,,tilt_GH_18631.25
11,Track GH,18634.375,RM000454,51.941757,5.231656567,0,tilt,dwarsligger,,tilt_GH_18634.375
12,Track GH,18637.5,RM000455,51.94173191,5.231680751,0,tilt,dwarsligger,,tilt_GH_18637.5
13,Track GH,18640.625,RM000456,51.94170874,5.231703074,0,tilt,dwarsligger,,tilt_GH_18640.625
14,Track GH,18643.75,RM000457,51.94168364,5.231727257,0,tilt,dwarsligger,,tilt_GH_18643.75
15,Track GH,18646.875,RM000458,51.94166047,5.23174958,0,tilt,dwarsligger,,tilt_GH_18646.875
16,Track GH,18650,RM000459,51.94163537,5.231773764,0,tilt,dwarsligger,,tilt_GH_18650.0
17,Track GH,18653.125,RM000460,51.94161221,5.231796087,0,tilt,dwarsligger,,tilt_GH_18653.125
18,Track GH,18656.25,RM000461,51.94158711,5.23182027,0,tilt,dwarsligger,,tilt_GH_18656.25
19,Track GH,18659.375,RM000462,51.94156394,5.231842593,0,tilt,dwarsligger,,tilt_GH_18659.375
20,Track GH,18662.5,RM000463,51.94153884,5.231866776,0,tilt,dwarsligger,,tilt_GH_18662.5
